Code	Incipit	Rubrica	File	Source	Duplicate of	
P6F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 15: 26-27; 16: 1-4	x	AELF		
P6F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 92 in Joannem	x			
P6F1N3L2			x			
P6F1N3L3			x			
P6F2N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF	P5F5N3L1a	
P6F2N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x			
P6F2N3L2			x			
P6F2N3L3			x			
P6F3N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF	P5F5N3L1a	
P6F3N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x			
P6F3N3L2			x			
P6F3N3L3			x			
P6F4N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF	P5F5N3L1a	
P6F4N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x			
P6F4N3L2			x			
P6F4N3L3			x			
P6F5N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF	P5F5N3L1a	
P6F5N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x			
P6F5N3L2			x			
P6F5N3L3			x			
P6F6N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 15: 26-27; 16: 1-4	x	AELF	P6F1N3L1a	
P6F6N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 92 in Joannem, circa medium	x			
P6F6N3L2			x			
P6F6N3L3			x			
P6F7N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 14: 15-21	x	AELF		
P6F7N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 74 in Joannem, sub finem, et 75	x			
P6F7N3L2			x			
P6F7N3L3			x			
P7F1L1a				AELF		
P7F1L1b						
P7F1L2						
P7F1L3						
P7F2L1a				AELF		
P7F2L1b						
P7F2L2						
P7F2L3						
P7F3L1a				AELF		
P7F3L1b						
P7F3L2						
P7F3L3						
P7F4L1a				AELF		
P7F4L1b						
P7F4L2						
P7F4L3						
P7F5L1a				AELF		
P7F5L1b						
P7F5L2						
P7F5L3						
P7F6L1a				AELF		
P7F6L1b						
P7F6L2						
P7F6L3						
P7F7L1a				AELF		
P7F7L1b						
P7F7L2						
P7F7L3						
